"Name","Class"
"ABALAAAALAL","Neu"
"ABALAAAALPP","Str"
"ABALAAAARLP","Neu"
"ABALAAAARRP","Neu"
"ABALAAAPALL","Str"
"ABALAAAPALR","Neu"
"ABALAAAPARR","Str"
"ABALAAAPPLL","Str"
"ABALAAAPPRL","Neu"
"ABALAAAPPRR","Str"
"ABALAAPAAAR","Neu"
"ABALAAPAAPP","Str"
"ABALAAPAPPP","Str"
"ABALAAPPAPA","Neu"
"ABALAAPPAPP","Str"
"ABALAAPPPAA","Neu"
"ABALAAPPPPAA","Neu"
"ABALAAPPPPP","Neu"
"ABALAPAAAAA","Neu"
"ABALAPAAAPA","Neu"
"ABALAPAAAPP","Str"
"ABALAPAAPAA","Neu"
"ABALAPAAPPAA","Neu"
"ABALAPAAPPP","Neu"
"ABALAPAPAPAA","Neu"
"ABALAPAPAPP","Neu"
"ABALAPAPPAAA","Neu"
"ABALAPAPPAP","Neu"
"ABALAPAPPPA","Neu"
"ABALAPAPPPP","Str"
"ABALAPPAAPA","Neu"
"ABALAPPAPAA","Neu"
"ABALAPPAPPA","Neu"
"ABALAPPAPPP","Str"
"ABALAPPPAAA","Neu"
"ABALAPPPAAP","Neu"
"ABALAPPPAPAA","Neu"
"ABALAPPPAPP","Neu"
"ABALAPPPPAAA","Neu"
"ABALAPPPPAP","Neu"
"ABALAPPPPPA","Neu"
"ABALAPPPPPP","Str"
"ABALPAAAAAA","Epi"
"ABALPAAAAAP","Mus"
"ABALPAAAAPA","Mus"
"ABALPAAAPAA","Mus"
"ABALPAAAPPP","Neu"
"ABALPAAPAAA","Epi"
"ABALPAAPAAP","Epi"
"ABALPAAPAPA","Epi"
"ABALPAAPAPP","Mus"
"ABALPAAPPAA","Epi"
"ABALPAAPPAP","Epi"
"ABALPAAPPPA","Epi"
"ABALPAAPPPP","Epi"
"ABALPAPAAAA","Neu"
"ABALPAPAAAP","Epi"
"ABALPAPAAPA","Epi"
"ABALPAPAPAA","Neu"
"ABALPAPAPAPP","Neu"
"ABALPAPAPPP","Neu"
"ABALPAPPAAPA","Neu"
"ABALPAPPAPA","Epi"
"ABALPAPPAPP","Epi"
"ABALPAPPPAA","Neu"
"ABALPAPPPPA","Epi"
"ABALPAPPPPP","Mus"
"ABALPPAAAPA","Neu"
"ABALPPAAAPP","Str"
"ABALPPAAPPP","Str"
"ABALPPAPAAA","Neu"
"ABALPPAPAAP","Str"
"ABALPPAPAPA","Neu"
"ABALPPAPAPP","Str"
"ABALPPAPPAA","Neu"
"ABALPPAPPAP","Neu"
"ABALPPAPPPAA","Neu"
"ABALPPAPPPP","Neu"
"ABALPPPAAAA","Neu"
"ABALPPPAAAP","Str"
"ABALPPPAAPD","Str"
"ABALPPPAPAD","Neu"
"ABALPPPAPAV","Neu"
"ABALPPPAPPPA","Neu"
"ABALPPPPAAD","Neu"
"ABALPPPPAPAA","Neu"
"ABALPPPPPAA","Neu"
"ABALPPPPPAP","Neu"
"ABALPPPPPPAA","Neu"
"ABALPPPPPPPA","Neu"
"ABALPPPPPPPP","Neu"
"ABARAAAAAAA","Epi"
"ABARAAAAAAP","Mus"
"ABARAAAAAPA","Epi"
"ABARAAAAAPP","Mus"
"ABARAAAAPAP","Epi"
"ABARAAAPAAA","Epi"
"ABARAAAPAAP","Epi"
"ABARAAAPAPA","Epi"
"ABARAAAPAPP","Mus"
"ABARAAAPPAA","Epi"
"ABARAAAPPAP","Epi"
"ABARAAAPPPA","Epi"
"ABARAAAPPPP","Epi"
"ABARAAPAAAA","Epi"
"ABARAAPAAAP","Mus"
"ABARAAPAAPA","Mus"
"ABARAAPAAPP","Epi"
"ABARAAPAPAAV","Neu"
"ABARAAPAPAP","Mus"
"ABARAAPAPPA","Neu"
"ABARAAPAPPP","Neu"
"ABARAAPPAAA","Neu"
"ABARAAPPAAP","Mus"
"ABARAAPPAPA","Mus"
"ABARAAPPAPP","Epi"
"ABARAAPPPAAV","Neu"
"ABARAAPPPAP","Mus"
"ABARAAPPPPA","Neu"
"ABARAAPPPPP","Neu"
"ABARAPAAAAA","Epi"
"ABARAPAAAAP","Mus"
"ABARAPAAAPA","Mus"
"ABARAPAAPAA","Mus"
"ABARAPAAPPA","Mus"
"ABARAPAAPPP","Neu"
"ABARAPAPAAPA","Neu"
"ABARAPAPAPA","Epi"
"ABARAPAPAPP","Neu"
"ABARAPAPPAA","Neu"
"ABARAPAPPPA","Epi"
"ABARAPAPPPP","Mus"
"ABARAPPAAAA","Neu"
"ABARAPPAAPA","Epi"
"ABARAPPAPAA","Neu"
"ABARAPPAPAPP","Neu"
"ABARAPPAPPA","Neu"
"ABARAPPAPPP","Neu"
"ABARAPPPAAA","Neu"
"ABARAPPPAAP","Str"
