"","Sister1","Sister2","leaf_sister1","leaf_sister2","score"
"2","P4a","P4p",NA,NA,NA
"3","Da","Dp",10,10,13.7840269839921
"4","Ca","Cp",23,24,26.7325090312454
"5","Eal","Ear",5,5,6.76762743467715
"6","Epl","Epr",5,5,6.24758300065237
"7","MSa","MSp",42,38,25.1042276789941
"8","MSaaaaaar","MSaaaaaal",NA,NA,NA
"9","ABprp","ABplp",59,57,22.8249768319879
"10","ABprap","ABplap",22,22,30.0771448926562
"11","ABpraaa","ABalppp",13,13,17.3479437188349
"12","ABpraap","ABplaap",12,12,16.2363526937411
"13","ABplp","ABprp",57,59,22.8249768319879
"14","ABplap","ABprap",22,22,30.0771448926562
"15","ABplaaa","ABarpap",9,9,11.3731331750388
"16","ABplaap","ABpraap",12,12,16.2363526937411
"17","ABarppa","ABarppp",9,9,12.158797488145
"18","ABarpap","ABplaaa",9,9,11.3731331750388
"19","ABarpaaaap","ABarpaaapa",2,2,2.75680539679843
"20","ABarpaaaaar","ABarpaaaaal",NA,NA,NA
"21","ABarappp","ABalppap",8,8,11.0272215871937
"22","ABarappa","ABalpapa",6,6,6.86785634581956
"23","ABarapaa","ABalpaaa",6,5,4.73405965636968
"24","ABarapap","ABalpapp",6,6,2.81307403218275
"25","ABaraapa","ABaraapp",8,8,8.26882817938131
"26","ABaraaap","ABalpaap",8,8,9.37932080739959
"27","ABaraaaaaa","ABaraaaaap",2,2,2.75680539679843
"28","ABalppp","ABpraaa",13,13,17.3479437188349
"29","ABalppap","ABarappp",8,8,11.0272215871937
"30","ABalppaaa","ABalaappa",NA,NA,NA
"31","ABalppaap","ABalaapap",NA,NA,NA
"32","ABalpapp","ABarapap",6,6,2.81307403218275
"33","ABalpaaa","ABarappa",5,6,0.648579594310819
"34","ABalpaap","ABaraaap",8,8,9.37932080739959
"35","ABalpaaa","ABarapaa",5,6,4.73405965636968
"36","ABalapap","ABalappp",6,8,6.77457112407223
"37","ABalapaaa","ABalappap",3,3,4.13520809519764
"38","ABalaappp","ABalapaap",3,3,4.13520809519764
"39","ABalaappa","ABalppaaa",NA,NA,NA
"40","ABalaapap","ABalppaap",NA,NA,NA
"41","ABalaaaal","ABalaapaa",2,2,2.75680539679843
"42","ABalaaapa","ABalaaapp",3,3,4.13520809519764
"43","ABalaaaarl","ABalaaaarr",NA,NA,NA
