"base","1","2","3","4"
"X","X","X","X",NA
"D","D","D","D",NA
"A","A","A",NA,NA
"A","A","A",NA,NA
"C","C",NA,NA,"C"
"C","C",NA,NA,"C"
"E","E",NA,NA,"E"
"E","E",NA,NA,"E"
"C","C","C","C",NA
"C","C","C","C",NA
"B","B","B","B",NA
"B","B","B","B",NA
"E","E",NA,NA,"E"
"base_prune","0","5","7","8"
"prune","0","0","0","0"
"Score","37","17","9","7"
"((A1,A2,((B1,(C1,C2),B2),D1,X)),(E1,E2,(C1,C2),E3));","((A1,A2,((B1,(C1,C2),B2),D1,X)),(E1,E2,(C1,C2),E3));","(A1,A2,((B1,(C1,C2),B2),D1,X));","((B1,(C1,C2),B2),D1,X);","(E1,E2,(C1,C2),E3);"
