Root1,0_0,0_1,0_2_0_0,0_2_0_1_0,0_2_0_1_1,0_2_0_2,0_2_1,1_0,1_1,1_2_0,1_2_1,1_3,0_2_0_1,1_2,0_2_0,1,0_2,0,root
0_0,3.0,3.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-2.0,-2.0,-4.0,-5.0,-5.0,-3.0,-14.0
0_1,3.0,3.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-2.0,-2.0,-4.0,-5.0,-5.0,-3.0,-14.0
0_2_0_0,-1.0,-1.0,3.0,-1.0,-1.0,3.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-2.0,-2.0,0.0,-5.0,-4.0,-7.0,-16.0
0_2_0_1_0,-1.0,-1.0,-1.0,3.0,3.0,-1.0,-1.0,-1.0,-1.0,3.0,3.0,-1.0,2.0,2.0,-1.0,-2.0,-5.0,-7.0,-13.0
0_2_0_1_1,-1.0,-1.0,-1.0,3.0,3.0,-1.0,-1.0,-1.0,-1.0,3.0,3.0,-1.0,2.0,2.0,-1.0,-2.0,-5.0,-7.0,-13.0
0_2_0_2,-1.0,-1.0,3.0,-1.0,-1.0,3.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-2.0,-2.0,0.0,-5.0,-4.0,-7.0,-16.0
0_2_1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,3.0,-1.0,-1.0,-1.0,-1.0,-1.0,-2.0,-2.0,-4.0,-5.0,-1.0,-7.0,-16.0
0_2_2,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-2.0,-2.0,-4.0,-5.0,-5.0,-7.0,-16.0
1_0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,3.0,3.0,-1.0,-1.0,3.0,-2.0,-2.0,-4.0,-1.0,-5.0,-7.0,-12.0
1_1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,3.0,3.0,-1.0,-1.0,3.0,-2.0,-2.0,-4.0,-1.0,-5.0,-7.0,-12.0
1_2_0,-1.0,-1.0,-1.0,3.0,3.0,-1.0,-1.0,-1.0,-1.0,3.0,3.0,-1.0,2.0,2.0,-1.0,-2.0,-5.0,-7.0,-13.0
1_2_1,-1.0,-1.0,-1.0,3.0,3.0,-1.0,-1.0,-1.0,-1.0,3.0,3.0,-1.0,2.0,2.0,-1.0,-2.0,-5.0,-7.0,-13.0
1_3,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,3.0,3.0,-1.0,-1.0,3.0,-2.0,-2.0,-4.0,-1.0,-5.0,-7.0,-12.0
0_2_0_1,-2.0,-2.0,-2.0,2.0,2.0,-2.0,-2.0,-2.0,-2.0,2.0,2.0,-2.0,6.0,6.0,0.0,-1.0,-2.0,-7.0,-9.0
1_2,-2.0,-2.0,-2.0,2.0,2.0,-2.0,-2.0,-2.0,-2.0,2.0,2.0,-2.0,6.0,6.0,0.0,-1.0,-2.0,-7.0,-9.0
0_2_0,-4.0,-4.0,0.0,-1.0,-1.0,0.0,-4.0,-4.0,-4.0,-1.0,-1.0,-4.0,0.0,0.0,12.0,3.0,-2.0,-4.0,-9.0
1,-5.0,-5.0,-5.0,-2.0,-2.0,-5.0,-5.0,-1.0,-1.0,-2.0,-2.0,-1.0,-1.0,-1.0,3.0,15.0,-3.0,-5.0,-11.0
0_2,-6.0,-6.0,-5.0,-6.0,-6.0,-5.0,-2.0,-6.0,-6.0,-6.0,-6.0,-6.0,-6.0,-6.0,-2.0,-3.0,14.0,-4.0,-5.0
0,-4.0,-4.0,-8.0,-8.0,-8.0,-8.0,-8.0,-8.0,-8.0,-8.0,-8.0,-8.0,-8.0,-8.0,-8.0,-9.0,-4.0,20.0,-7.0
root,-16.0,-16.0,-17.0,-14.0,-14.0,-17.0,-17.0,-13.0,-13.0,-14.0,-14.0,-13.0,-10.0,-10.0,-10.0,-12.0,-5.0,-8.0,35.0
